origin_airport,dest_airport,distance,totdepartures,totpassengers,totfreight,totmail,totdepartures_cat,totpassengers_cat
STS,SNA,433,1,3,0,0,1.0,1.0
TKF,SAN,483,1,6,0,0,1.0,1.0
TRM,BUR,132,7,4,0,0,1.0,1.0
TVL,BUR,336,1,1,0,0,1.0,1.0
UKI,CEC,191,1,0,430,0,1.0,1.0
VIS,BUR,157,545,2961,0,0,2.0,1.0
VIS,LAX,173,43,87,0,0,1.0,1.0
VIS,OAK,184,673,0,1049854,0,3.0,1.0
VIS,ONT,186,10,0,11300,0,1.0,1.0
VIS,SAN,277,2,15,0,0,1.0,1.0
VIS,SMF,204,521,2509,0,0,2.0,1.0
VNY,APC,348,1,6,0,0,1.0,1.0
VNY,MHR,338,1,4,0,0,1.0,1.0
VNY,MRY,250,1,9,0,0,1.0,1.0
VNY,OAK,320,4,2,0,0,1.0,1.0
VNY,SDM,143,1,0,0,0,1.0,1.0
VNY,SFO,320,2,5,0,0,1.0,1.0
VNY,TKF,364,1,5,0,0,1.0,1.0
